	author	comment
283	helthuismartin	The most beautiful woman in pop history.
284	。。。	ABBAの作品なら俺は1番くらいええと思うんやけど、日本では黄金伝説の1ヶ月一万円生活で流れてたからもっと評価されてほしいな。
285	feder supertramp	MONEY... IS THE... KING!!!
286	Carlos Briones	El regresó del mejor grupo de la historia de la humanidad ABBA la historia continua 🎶🎶🇸🇪🎶🎶
287	Husseintheguy KSA	dank memer money rolled me
288	ThatWeatherman4	FIFA's Theme song
289	honey zune	That's my situation right now after I spent money in the beginning of the month and I broke as hell the rest of the month
290	feder supertramp	MONEY.. IS THE HAPPINESS!!!
291	aeroport043	В 70-е годы услышать АББА с мани - мани... по радио было великим счастьем 😁
292	Gab P	this song is the best one from the ones that are bout money n men yk, these lyrics and the way it sounds its just great. all of you can and will agree with that
293	Jarboe Koesters	Rutger Gunnarsson's bass playing carries this song. Rutgar and Michael B. Tretow (sound engineer) were the invisible 5th and 6th member of ABBA.
294	Ninya / Ninja Brifsanovich the Saiyan	Money money money Lots of money In a rich man's world Money money money Lots of Scrumpy In a drunk man's world
295	кобзарь башкирский	"В 70-х АББА даже в советскому ЦТ показывали, в финале воскресной ""международная панорама"". Так что, и АББА и итальянская, немецкая и другие, прочие эстрады показывали в СССР. Я это помню."
296	Mathilde Wesendonck	Only Abba can make an out of tune piano sound that good
297	Григорий Ракицкий	🥀♥️😍
298	CardamonRadio	It's so funny to hear people say this song sounds rich or like a villain theme song when it's so clearly a song criticizing capitalism, like??? are y'all not listening to the same song as me or what??
299	mistxally	When you get Form grandma Money and your mom be like : MONEY MONEY MONEY
300	Mićo Marinković	Nekad bili mladi i lijepi, mega popularni i lijepo pjevali. Pjesme su ostale i to je dovoljno.
301	Андрей Лыгин	Песня на все времена!!!! Где уже ABBA? А музыка жива 👍💥👍👍👍👍👍💥🎇🎇🎇🎇
302	松原奨	だいたいお金の話題になるとこの曲が流れがち。
303	swami fakkananda	Mombasa kenya, 29 sep., 2022, 7:58 pm. Is it just me or this is a damn gooood song??? If u listen carefully they want hard cash!! 🤣🤣🤣
304	yukira	I love the part with Money, money, money💵 must be funny😂 in the rich 🤑 man's world😈👉👈
305	Žaneta Štefancová	Ja som samostatná jednotka Len občas zopár drobných navyše potrebujem A šikovného chlapa
306	Demiene Juarana DJ	This song is actually their answer to those opposer in their government or protesters or anti-west because Abba was making songs just for money and was influenced by the west because of their fame in the Eurovision contest by which they won. This is the only, I think societal song or the song that talks about what is happening in their government. Anyways, nice Abba for answering that you do not create songs for the sake of money but through your passion of singing to the rest of the world.
307	hakan kıvrık	Çocuklugumda radyoda çalardı.
308	Crested Crane	This song is so sad and still so actual in 2022
309	David G.	"A very Happy 77th Birthday Princess Anni-Frid Reuss Lyngstad, Countess of Plauen AKA Frida.. After ABBA she had a hit with ""Somethings going on "" .."
310	Tanya Flanagan	"Some legend belted this on the news the other day after our ""budget meeting"" here in the uk. I need to know who the epic being is!!"
311	GRanNY the RaT	My mom showed ABBA when I was 4 and I still love them to this day
312	Cleonise Munhoz	Money em dólar, yens, real, liras, euros, ouro, prata, pedras preciosas e muita prosperidade. Fortunas.
313	Andrea Anunciado	12 yrs ago, now it's famous 🥳🥳🤩🤩😍😍
314	Hhhung Kimmmpp	Yeanh i love it
315	War commentary	"The T-34 is a Soviet medium tank introduced in 1940. Its 76.2 mm (3 in) tank gun was more powerful than its contemporaries while its 60 degree sloped armour provided good protection against anti-tank weapons. The Christie suspension was inherited from the design of American J. Walter Christie's M1928 tank, versions of which were sold turret-less to the Red Army and documented as ""farm tractors"", after being rejected by the U.S. Army.[citation needed] The T-34 had a profound effect on the conflict on the Eastern Front in the Second World War, and had a lasting impact on tank design. After the Germans encountered the tank in 1941 during Operation Barbarossa, German general Paul Ludwig Ewald von Kleist called it ""the finest tank in the world"" and Heinz Guderian affirmed the T-34's ""vast superiority"" over German tanks. Alfred Jodl, chief of operations staff of the German armed forces noted in his war diary ""the surprise at this new and thus unknown wunder-armament being unleashed against the German assault divisions,"" although its armour and armament were surpassed later in the war. The T-34 was the mainstay of Soviet Red Army armoured forces throughout the war. Its general specifications remained nearly unchanged until early 1944, when it received a firepower upgrade with the introduction of the greatly improved T-34-85 variant. Its production method was continuously refined and rationalized to meet the needs of the Eastern Front, making the T-34 quicker and cheaper to produce. The Soviets ultimately built over 80,000 T-34s of all variants, allowing steadily greater numbers to be fielded despite the loss of tens of thousands in combat against the German Wehrmacht. Replacing many light and medium tanks in Red Army service, it was the most-produced tank of the war, as well as the second most-produced tank of all time (after its successor, the T-54/T-55 series). With 44,900 lost during the war, it also suffered the most tank losses ever. Its development led directly to the T-44, then the T-54 and T-55 series of tanks, which in turn evolved into the later T-62, that form the armoured core of many modern armies. T-34 variants were widely exported after World War II, and as recently as 2010 more than 130 were still in service."
316	Chris Waring	BOUGHT THIS WHEN IT CAME OUT ON A 45RPM SINGLE 1977 USED TO THINK THAT THEY WERE SINGING IF I HAD A ,LITTLE MUMMY
317	ur a h03 <3	Listened to this for yearssss
318	Ana Mikhailidi	❤
319	gal oz	The best music was made in the 50s-60s-70s-especially in the 70s-Abba-Queen-Rolling Stones-Beatles-Elvis Presley-Tom Jones-Elton John-Bee Gees-Pink Floyd and more-The music being made today, forgive me, is rubbish - very amateurish
320	Jocelyn Hurd	This song actually speaks truth
321	uncrully13	"""B- but my money is enough.."" - Someone who actually clicked the money on dank memer 💀"
322	Zayed Zayed	Truth lyrics 😭🎼
323	𝖘𝖚𝖐𝖎	"""Money, Money, Money, Must be funny, Living In a Rich Man's World"""
324	⧗ Unknown ⎊	I’m sorry but this song makes me only think of 1 character who actually is a rich man- Though that might be because I discovered this song through a video of him _Money, money, money,_ _Must be funny, in a rich man’s world._ _Money, money, money,_ _Always sunny, in the rich man’s world._ This song perfectly describes him
325	batuhan GÖKBAŞ	I work all night, I work all day, to pay the bills I have to pay Ain't it sad And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
326	Maniac	When your aunt and uncle gives you a birthday card filled with money
327	Angle D	12 years ago??! bro that's fire!
328	RoseEliasTv	And some said Money can't make you happy!
329	Steel Fanther	The Beatles of the 1970s ...
330	wrightyi23	literally about 6 chords! As a guitarist, blows my mind how they come up with such unreal melodies over limited chord structures!
331	Jason Smith	When you open grandma's card at Christmas. 🤑🤑🤑🤑
332	Merman ASMR	If any ABBA member ever need an organ, I'll give any part of my healthy 39 y.o. body to them. And ask for no Money Money Money
333	Ajrwilde	amazing piano work
334	LasrAndJay Gaming	Wow!
335	EDMW FTW	Unfortunately...this still aged well...
336	Abderrazzak Benbahou	Technically my Algerian English book brought me to this song... I'm sure some others are like me!
337	Elena Dotsenko	Спасибо..Thanks...
338	Cormboy	abba talking about the rich mans world while also being ruthless union busters
339	Bic4ps	So this is what Mr. Krabs listens to.
340	Sp0flix_unofficial	Gonna play this in a mansion with 5m dollars is my account one day
341	ComBo	0% Mamma Mia 0% Gimme Gimme 100% Money Money
342	Istina Anitsi	впервые прозвучала в международной панораме - СССР открыл для себя новую группу, но все это было на грани легальности, что за кошмарные времена были
343	Boingo	This song should have been on the White album
344	Emre Ekinci	I work all night, I work all day to pay the bills I have to pay Ain't it sad? And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad? And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
345	Iren Masot	Those ten bucks at 2:00 effectively doubled the budget for this video. Almost bankrupted the studio...😔
346	Jason Gibson	I love 💘both girls very talented women.
347	frog	They are predicting the future in this song, todays girls are thinking like this much more often than in their time 😢
348	انا و الاكل قصة حب لا تنتهي💀💗	If you find money on the ground 😂
349	emilie w	Oh, man. Going through abba's old albums my parents gave to me. MEMORIES. I would put on my heels and a dress and act out all the songs.
350	Anna Manansala	💗
351	Safoora Sajad	ABBA 1 someone in my class is call abba 2 my family love this song
352	Milli_619	Bro this is the best song ever
353	☁️ ceci ♡	ABBA’s best songs all have the same word repeated
354	AB B	Frida's voice- just beautiful. Agnetha and Frida compliment each other like no other two singers from the past or present. There will never be another ABBA.
355	Shabbir Dossaji	Abba was the number one economy of Sweden.
356	Jhonatas Roberto de Lima	A juíza sueca no início da carreira kkkkkkkkkkkk
357	00algiukas	Gražų Puikų Malonų Kaunas LT 💞💕🌺🌻🏵🌹
358	Rick Danner Guitar Player	the girls so beautiful so amazing
359	Alex Alex	Сильны ребята и девчата...очень сильны!Время над их песнями не властно!
360	Valisive	the song that motivates me to study
361	×Cloudia×	Man i wish i new this song while i lived in Ukraine
362	rorochan girl	I really like dis sog I can't stop sig
363	stinky	“I work all night” “I work All day” “Pay the bills” “I have to pay” “Ain’t it sad?” “And still there never seems to be” “A single penny left for me” “That’s too bad” “In my dreams I have a plan” “If I got me a wealthy man” “I wouldn’t have to work at all” “I’d fool around and have a ball” “Money money money” “Must be funny” “In the rich man’s world” “Money money money” “Always sunny” “In the rich man’s world” “Ah ah” “All the things I could do” “If I had a little money” “It’s a rich man’s world” 2x “A man like that is hard to find” “But I cant get him off my mind” “Ain’t it sad?” “And if he happens to be free” “I bet he wouldn’t fancy me” “That’s too bad” “So I must leave” “I’ll have to go” “To Las Vegas or Monaco” “And win a fortune in a game” “My life will never be the same” “Money money money” “Must be funny” “In the rich man’s world” “Money money money” “Always sunny” “In the rich man’s world” “Ah ah” “All the things I could do” “If I had a little money” “It’s a rich man’s world” “Money money money” “Must be funny” “In the rich man’s world” “Money money money” “Always sunny” “In the rich man’s world” “Ah ah” “All the things I could do” “If I had a little money” “It’s a rich man’s world” 2x HELP THIS TOOK ME SO LONG-
364	Carlotita	Magistral interpretación de Frida! Ella es toda una estrella!
365	らああ	急に頭に流れてきたこれか
366	akakakkakaka jjkak	they’re so real for this
367	Gacha Mary	Money , money , money!)
368	Davidcat95YT	MONEY MONEY MONEY MUST BE FUNNY IN THE RICH MAN'S WORLD!
369	B R	It's a shame that lyrics like this, that make sense and rhyme correctly, have fallen out of fashion.
370	Sardónice Heleno.	This song at 1.25 speed sounds great too.
371	Julie Shrive	Love the wink & the nod to Lisa Minelli & Cabaret one of the most popular & notable films of Swinging Sixties set Iin the Berlin cabaret scene before WW2 .We the Baby Boomers knowing of the disastrous consequences & found out also the consequences of a life without boundaries too .This is in my psyche at the moment I wonder why?
372	TonyMario_HBach	“A single penny left for me” Yeah i dont like to be homeless
373	Arthur Idis	I saved some of those 1974 and older $1 bills. A small reminder of a better time in life.
374	xXpistonXx !	Abba - Gimme, Gimme, Gimme Abba - Money, Money, Money *this is one greedy woman*
375	glen knapke	Good 👍😊
376	Numberblock Thirty-one	Gimme Money, Gimme Money, Gimme Money
377	Richard Sheldrake	superb
378	Алексей Уважаемый	Я касету на ручке перематывал) Было же время) Мафон романтик, потом шарп двухкосетный в '91-м) А сейчас что хочешь в секунды легким движением руки, никакого балдежа)
379	José Ferreira de Lima	Inesquecível grupo ABBA! Sempre estará presente em nossa memória !!!
380	Tamāra Brivce	🌹🌹🌹
381	AmazingJeston	MONEY, MONEY, MONEY IN THE RICH MAN'S WORLD
382	Uda ya	Wow 🥺
383	Žaneta Štefancová	A nie takého čo toho viac nakecá a zožerie ako urobí
384	Валентина Зубович	Песня моей юности!!!!Красивые люди спели эту песню,которая осталась в сердце навсегда!!!Прошло много лет,а восторг и трепет от прослушивания песен АВВА не проходит!
385	SHREY GAMING	This zong is going to be used in my school annual day in the theme of alladin isn't crazy
386	Logan Gagnepain	Kinda anticapitalist, don't you think?
387	elif arı	"my last remaining brain cell while the teacher is lecturing:""Gimme,Gimme, Gimme"" ""Money,Money,Money"""
388	The girl you havent seen sińce 2022	POV:you are watching this at 4 am in the car with your two sisters
389	Loppan 1643	The best in the world
390	_XxquesitoxX_	Money=the happiness
391	steven kane	cool song
392	martina sammer	cool song
393	Vitvurce	I work all night, I work all day, to pay the bills I have to pay Ain't it sad And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If it got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball... Money, money, money must be funny In the rich man's world Money, money, money always sunny in the rich man's world Aha-ahaaa all the things I could do If I had a little money, it's a rich man's world A man like that is hard to find But I can't get him off my mind Ain't it sad And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go to Las Vegas or Monaco And win a fortune in a game, my life will never be the same... Money, money, money must be funny In the rich man's world Money, money, money always sunny in the rich man's world Aha-ahaaa all the things I could do If I had a little money, it's a rich man's world
394	Ü.Ş	The song's age is the same with mine
395	Neeil Bhatia	My son is 8 and loves this song
396	Intermediate MSM Player	I got here by clicking a dank memer link
397	Matthew Novakoski	🕺💰🤟💃 a girl you don’t need money to be rich in love ⛳️🪂🐻🍀
398	Daniel Gantert	I am very happy that ABBA came back in 2021 ... the world need this amazing Band 🙂
399	glen knapke	The American Nightmare lives in the media
400	Ольга Коннова	Абба-самая лучшая группа тех времён,когда ещё был СССР,они мне до сипор нравятся,я с удовольствием слушаю их песни
401	Mallika Balu	I remember dancing to this song in my street as a teenager and all the teens joined me. ABBA was very popular in my street in the 1980s. Memories memories. Thank you for uploading this.
402	Sebastian Villamil	Abba always better than actual music 2017 present.
403	Natàlia Boixader	Me encanta esta canción de ABBA es una pasada. El dinero mueve el mundo.
404	Slim Jenkins	That TikTok filter that says “what song describes your life” said it was this song and it could not be more accurate
405	Djane Catwoman	Nice
406	Paula Vazquez	This is the best song! Blonde woman looks like my aunt xD
407	Михайло Дугаев	Мне 56 не могу передать свои чувства..слушая ABBA я возвращаюсь в свои воспоминания ..в свою ...прожитую..жизнь.. ....это Лучшее что я испытывал и слушал своей жизнь спасибо ВАМ ВСЕМ Бенни Ты - лучший композитор 20.......века .АГНЕТА ТЫ ВЫГЛЯДИШЬ бесподобно спасибо Богу что я это застат ...дай ВАМ Бог счастья.. Которое Вы подарили в своё время НАМ ...ШВЕДЫ ЛУЧШИЕ..ВАС В КОСМОС.....
408	Lilianaaa	When your parents give you 1$ for doing chores
409	Хади Солтова	Когда песня была я даже не родилась, _, круто, но мне она все равно нравится из за Money Money
410	David	10/10 :)
411	Fernanda Marín	they are the best
412	erik Amiaxyan	💖🌹💖
413	🐱 yum I 🐕	6 dollars in 2022 : 6 cent 6 dollars in 2010 : 6 thousand
414	Dillon Yakub	🎶💥🎶💥🎶
415	Sophia prettyhoof	Who is still listening to this in 2022-2025
416	darwinq Peñaflorida	Indonesian Rupiah and Philippine Peso are “Friendly Currencies of the World” along with Euros and Dollars Trivia:Some words in two banknotes are similar on words in Filipino and Indonesian such as: 1.Lima(Both in Filipino and Indonesian) 2.Thousand(Libo in Filipino and Ribu in Indonesian) 3.Fifty(Limampung in Filipino, Lima Puluh in Indonesian)
417	jorge min	esta canción es God
418	nepeta leijon!	Yo so like, i just realized that we're literally in the anniversary of the song-
419	Jason Adams	Imagine if Mr. Krabs from SpongeBob SquarePants sang this song!
420	Silva	BEST SONG EVERRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
421	soundouss seba	🤩
422	Daniel Bradford	Written back when the Swedish government took 95% of the band's earnings.
423	Gabriel V.	"""MONE MONEY MONEY, Must be Funny in the Rich's Man's World!"""
424	Slav Valb	True! Life would be so different and better for sure
425	Alex A	Это самая топовая песня АББЫ
426	Maria	MONEY, MONEY, MONEY
427	miami	When you get the money after your grandma died
428	David BALARDELLE	👍
429	Saiige	i’ve knew this song before it recently came popular, how about you?
430	Calcifire	I LIVE FOR MONEY
431	WyndmillProductions	I love frida so much such a talented singer
432	Sarcophilus	Мой Бог, это поет мое детство..Как же я вас люблю
433	Magna Esca	Abba predicted the inflation
434	Danna Diaz	money is what i think about every day
435	Danna Diaz	money is what i think about every day
436	Abin Tom Sebastian	This song fits The Sopranos quite well.
437	şeyma demir	I work all night, I work all day, to pay the bills I have to pay Ain't it sad And still there never seems to be a single penny left for me That's too bad In my dreams I have a plan If I got me a wealthy man I wouldn't have to work at all, I'd fool around and have a ball Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world A man like that is hard to find but I can't get him off my mind Ain't it sad And if he happens to be free I bet he wouldn't fancy me That's too bad So I must leave, I'll have to go To Las Vegas or Monaco And win a fortune in a game, my life will never be the same Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world Money, money, money Must be funny In the rich man's world Money, money, money Always sunny In the rich man's world Aha aha All the things I could do If I had a little money It's a rich man's world It's a rich man's world
438	Jemima	Everyone gives them the credit but what about the editors?
439	Scrooge mcDuck 	money money money!!!
440	[ERROR.EXE]	thank you dank memer for taking me here while i was buying something
441	József Orbán	ABBA Gold 2022 🙂
442	Findlay Shaw	Abba is the only thing that has got me through this year
443	Bullet	POV: You are a student who has moved out from your parents, and you will have to live for another week before your next scholarship
444	Karamel Popcorn	i love money sm
445	Just A Drawing	When grandma secretly gives you money:
446	•FlowieChanGacha🌹	OMG THAT VIDEO WAS MADE IN 2009 AND 2009 IS WHEN I WAS BORN!
447	neverleverland	most relevant song of 2022
448	Fatjon Gjylhasani	1978 ABBA 😜😜💎💎💎
449	UwUash101	If you got 100$ every time I get yelled at Me: money money money!
450	Yiorghos George	I would just like to inform you that when you find a rich man you can always find one who is richer than him to get for your next plans. You just have to move on to them.
451	Kelly Blalock	Lyrics
452	ΙΩΑΝΝΑ ΧΡΗΣΤΟΠΟΥΛΟΥ	All i wish i had is my family back!!!!Money means nothing to me....Family instead is wealth....
453	♡the world of Jimal♡	Who here just cuz of the trend
454	Artmezzer	Bro I can’t be the only one who came from the Henry VIII parody
455	andi	it's been something like 7 years since my grandmother passed, and I have so many memories of her singing this song 💛
456	Lia Micheal	Me after gaslighting my dad into giving me 120$
457	Ondra Konopasek	Gooood
458	The Shadow	When I receive my salary 😂😭
459	Kelsi Sylvester	How is this made in 13 years ago but it's really popular
460	Лариса Васик	Стиль, красота, уровень 👍👍👍🔥🔥🔥
461	𝘀 𝘄 𝗲 𝗲 𝘁	this is the tik tok part 0:46 ''money, money, money must be funny in the rich man's world'' xd
462	☆_-Dark-_☆	MONEY MONEY :)
463	blksundomme	I feel like everyone in the comments are missing the point of the song…
464	אליי אצלן	להקה מספר אחת
465	Irina Andrejić	People are thinking how this song is about how rich she is. It's actually about her being poor and dreaming about money
466	Kei🕷️	MONEY MONEY MONEYYYY
467	ISLAPSINKOMINKO	That one poor kid that never had money be like
468	あいうえお	ほんま泣けるきよ
469	florbela	Womens mind be like:
470	Алиса Шалунова	Я с детства обожала эту песню:)
471	El grasu	money money money, my song
472	XS	🇦🇿✌
473	Lisa Ackland	My money gets spent on your lovers, you deprive me.
474	Navdeep Kaur	When you are one dollar short
475	Алексей Щербаков	Самая лучшая и запоминающаяся песня АББА !
476	Vanessa Warchoł	MONEY MONEY MONEY
477	Brzydall	Nvidia must love this song with their prices.
478	byoooly	mi cancion
479	Chipin' Time's #1 Fan	Banger
480	Dominika Niemiec	ABBA lives forever and ever!!!
481	Emre Önalır	Ty for 4k, best sound!
482	McCrow	MUNTY, MUNTY, MUNTY MUST BE FUNTY IN A RICH MAN'S GUNT
483	Дарья Вавилова	Берегите
484	💚frogy,🍀	Me: Money money money mast be fanny Mom: money money money mast be fanny AH AH I COULD DO Dad: 😨😨money and LOVE Me thinks mommy could do voor you 2 Mom look up money love Dad money and I love Me love and money Mom LOVE Dad LOVE ME. LOVE
485	Veronika Ioannou	Money, money musica linda , tempo lindo da minha juventude🇧🇷🇧🇷
486	Davethe3rd	"I ended up here because of Carlos Maza. ""Never Let Millionaires Tell You You're Greedy"""
487	Триша🥶	Money money money
488	gl0b0ph0bia	Anyone else remember a song about henry viii's wives that was based off this song or was that just a fever dream I had?
489	jjaannaax	Moneyyyyy😞😞🔥🔥♥️♥️
490	faco. matte	when I was 6 this was my favourite song so now it gives me a lot of good memories ❤
491	Marija Mikovic	When you became a sugar baby
492	Mololongo	When you agree to water the plants so your mom gives you $2
493	monke_	this makes me feel like im about to type in nato artricle 5.
494	D/ Magellan	La chanson préférée des femmes de 2022 !
495	Евгений Громов	Это Бог благословил. Красиво и Прекрасно. I love this music band.
496	Rox sza	this is the typical „i know every song of them but don’t know any name of it“
497	Gato flow	Money no. Love yes
498	Seen_you	When you got a dollar for switching your food from school:
499	c͓̽h͓̽l͓̽o͓̽e͓̽	When Mr. Krabs memorize that song.
500	Bigfoot Country	Money, Money Love this song. ABBA will live in are hearts and minds for ever. I remember cranking up the sound on my 8 track player in my car back in the 80s to ABBA songs. Any of you remember the 8 track player back then?
501	El Velero De Papel	El mejor grupo de todos los tiempos sin duda alguna.
502	P_ers0n	Man I just wanted a padlock
503	erik cruz	I love : lay all your love on me
504	superkoolOfficialchannel	just give my money already bro
505	Jugemu Jugemu Go Ko no Surikire Kaijari Suigyo	POV: It's 2022, you decided to buy some cheese from dank memer.
506	Anni frid Lyngstad	In gimme gimme gimme anni is happy but in this she isn’t . I wanna be famous like them when I’m older
507	CXRAIQ	POV: when your parents give you 50 cents for doing the dishes
508	Tenacious Creator	"Guy who’s only watched Inspector Gadget: ""This is giving off major Inspector Gadget vibes"""
509	James Bond	A man like that is hard to find ! 😉
510	Me Do	ABBA forever!❤
511	Dana Webb	They had an understanding of money few will.
512	Siobhan Duffy	true story last December 2022 my Mother ran out of fuel i sang this song just MMM aaah bit didnt get arrested UK
513	simon smith	Mummy,Mummy,Mummy,,🥰🥰🥰
514	Bananinha_Mel_YT	Eu depois de ganhar 2 real👁️👄👁️💅
515	Lia Grande	Money, money
516	capivara do grau	Kid: Im RICH mom: GIVE ME MY CREDIT CARD BACK
517	BBM7YT	is there anyone hearing this in 2023
518	Mattia Baraldo	The song the psychiatry sings when he sees me
519	Gideon Rodriguez	POV:your mom trying to convince you to hold your money
520	🎨Artist_Brusnichka🍒	When I was given 120 rubles for freebies and bought everything I wanted simply because.
521	Юрий Камень	BRAVO!!!!!!!!!!!!! PRINCE YURI
522	Lala	ABBA Comes from sweden and i come from sweden
523	Hannah	I love how beauty standards in the 70s were so different from now. These women have normal skin, wrinkles, and REAL teeth. Now everyone has veneers, airbrushed skin, Botox etc. These were real people
524	Дарья Вавилова	Пусть их забудет временно
525	Rizki Maulida	Like money money money must be funny ahhhhhh ITS soo good
526	Sandeep Singh	5 year old me after getting 1$ after getting a A+ :
527	Izuku midoriya	1 year and a few months younger then this my birthday is feb 4 2010
528	Павел Червев	Хит на все времена. По обе стороны железного занавеса слушали с удовольствием.
529	꧁Honeycomb candle ꧂	0:38 for the people who came here because of a TikTok.
530	90 _Tokio v	😀😀😀🎈🍀🍀🍀❤️❤️❤️
531	ᴍᴀʀɪᴋᴏʀᴀ.	Money>love
532	RealManArab	One word : Hypergamy
533	nitram tterrab	This was always my favourite abba song. One of their most underrated songs off Arrival.
534	Oliver	Damn i just wanted to buy a fishing pole
535	Zəhra Vəliyeva	MONEY MONEY MONEY👍🏻 MUS'T BE FUNY🤙🏻
536	SXiPPY Dennison	My go to song when I’m hunting sugar daddies here in Vegas.
537	TrXsH GxnG	Came from my english lesson,im russian
538	Bise Ushery	Группа ABBA, наши шведские красавчики, это навсегда 😁🤩🤗🤗
539	Pedro Puelles	!!!veo veo veo dinero ohhh ohh !!!! !!!! corro corro corro tras ello tras ello!!!! oooohhhh Dios... no lo alcanzoooo nooo !!! !!! ¿dónde estás dinero ? ven aquí o te atrapare!!!!!
540	FourteenPint	i click on a money on dank memer and got this bruh
541	The Show About with Simone RC!	Totally the original version of Gold Digger am I right? Tell him the truth all the way!
542	луарвик луарвик	давай лавэ, давай лавэ и легче будет твоей голове...
543	Ethanos Squad	POV: You click on the blue highlighted money in dank memer
544	Nebi_123	Normal=ok ×1,25=¿Cool? ×1,5=¡Cool! ×1,75=😏 ×2=😎
545	Gabriel Monzani	Pause the video on the 2:26 frame. Bjorn and Frid look EXACTLY like Joyce and Jonathan from Stranger Things, LOL!
546	SWE DEN	Money Money Money.... Most Important than ever now since all this Shit is happening
547	Joelwelcome	Just imagine how much money the group made after this song.
548	Hoffmann Tamás	It's funny how they use one dollar bills! :D
549	Muhriz.	I found it finnaly
550	Sassy The  Sasquatch	so relevant now in UK lol with the price increase
551	Dark Mayonaise	When you go to grandmas house=
552	교장쌤	wow, this song is so fantastic
553	skaino	me when i found 1 euro in the ground
554	Dishari Nandi	Is it a 80s song?
555	VelvetRose	Wow, thanks dank memer totally what I asked for
556	Fils de Jean Noir	"0:41 I got me a ""wealthy man""! I ALWAYS Fool around and have a ball! His name is G-d. 😁 He owns THE UNIVERSE. 😁 Mr. Universe. 😁"
557	Gintarė Maksimovaitė	This song is just a masterpiece. Love ABBA ❤️
558	007Sofa 007Sofa	Этой песне уже 13 лет?!?!?😳 Время так быстро летит? .... даже немного жаль😞
559	Sid	The Oligarch theme-song!
560	FireGamer	I got here by clicking the Dank Memer Price just for fun 😂
561	hungry lion	When you become the richest person in monopoly:
562	pinina caso	Abba lo maximo. De niña escuché todas sus canciones que hasta ahora los busco para volver a escucharlas y bailar los en cada fiesta que hago como que fuera de mis tiempos.
563	furcorn	let's be honest we wouldn't be here without dank memer
564	Texterin Sanja	🤔 Manche Menschen können nicht anders, als ein Schwein zu sein auf dieser Welt. Da gilt das von gestern vorgestern schon nicht mehr …🤨🤢 Aber toller Song von ABBA. ☺
565	Iye	Easiest name to remember
566	weirdo	Money is my best friend
567	Arlinda	People tend to take songs too literally, this song speaks truth but it's also self ironic and fun, obviously larger than life
568	Rowan	My mom when I get paid
569	mahdi_ghadamiari	🥀🖤🌈✌🙏
570	maria maldonado	it doesn´t seem to be a single penny left to me
571	Bhavya Khunt	People who came from Dank Memer | \/
572	Ace	This is probably the greatest song of all time, truly
573	Barberdrake	Just did a tanglin MUN conference where the theme was a rich man's world.
574	Kazem Tanabi	خدایا در بهترین دوران جوانی چقدر به این آهنگ ها گوش میدادیم
575	Player 1	The new theme of Moneybags.
576	J Diaz	Just realized Immortal Technique sampled this
577	jorge Marques	Estas musicas sao eternas. Abba para sempre
578	Maker Play	Money money money, chỉ cần như thế, không cần xuất giấy tờ. Money money money, chỉ cần như thế, không cần mất thì giờ...
579	ooo	"Money a cambiato la vita a tanta gente tanti si sono rovinati senza accorgersi altri anno dimenticato da dove sono partiti ovviamente tanti si godono la vita quelli che possono perché ci sono anche quelli che pur avendo soldi la vita non si li possono godere più La Vita La Salute La felicità La Gioia delle piccole cose Anche del L""Amore non li puoi comprare con i soldi compri si ma solo falsità e inganno sempre con il cuore ❤️❤️❤️❤️❤️❤️❤️❤️❤️"
