	author	comment
984	Crypto Tone Loc	The original NPC meme
985	Carl Neoh	Fun fact: The poem the teacher reads out is the lyrics to Money by Pink Floyd
986	Sougata Das	In the age of Byju's and Kota, homeschool your child...
987	Dale Richardson	Hey everyone! Look at the CC (closed caption) words! They are insane and don't even come close to the video! It's like a drunk Chinese kindergartener tried to write the words down! UPVOTE THIS POST to get them fixed!
988	kaho yu	Hongkong is going to be a place as the song……
989	Alan Deli	For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord. (Romans 6:23) Therefore also now, saith the LORD, turn ye even to me with all your heart, and with fasting, and with weeping, and with mourning: And rend your heart, and not your garments, and turn unto the LORD your God: for he is gracious and merciful, slow to anger, and of great kindness, and repenteth him of the evil. (Joel 2:12-13) For whosoever shall call upon the name of the Lord shall be saved. (Romans 10:13)
990	Pijus Malaškevičius	I used to sing this song when I was in school...NOW, when I'm a dustman I sing: -Shit I need some...education...
991	Лена Лысенко	Я можу слухати знов і знов.
992	Bea Belon	Alleluia
993	Lionel Fox	The video is kinda disgusting, but still a good meaning behind it, and good video as always!!!
994	Patrick Khaddar	😘♥️🍑5️⃣🍑♥️🇺🇳🇺🇸🇬🇧🇮🇱🇨🇭... LIBÉRATION DE LA PAIX 💞 VIVE L'AMOUR DE LA RÉPUBLIQUE FRANÇAISE 💞 MR LE PRÉSIDENT...
995	Anna Bosmann	Lets thank our dads for the amazing taste in music❤️
996	Diana Ruvalcaba Quezada	Los que venimos del libro
997	Oleksandr Matvienko	То
998	R and N	I was here, July 25th, 2022.
999	GSM GSM	Merci qu'elle horreur mais bon clip je suppose que c'est une histoire fausse
1000	Jarbas Peixoto Júnior	Lançada em 1979, a canção “Another Brick In the Wall”, da banda Pink Floyd, é uma crítica ao sistema educacional britânico, considerado autoritário e opressivo. Ao longo dos anos, a música foi usada como uma forma de protesto contra qualquer tipo de sistema totalitário, opressivo e autoritário. Tornou-se um símbolo de resistência contra esses regimes, não importa a esfera. Em 2021, centenas de pessoas se reuniram para cantar essa música em protesto aos regimes totalitários e restrições impostas por diversos governos no mundo todo. Contra a exigência do passaporte sanitário e a favor da liberdade. Que os canadenses possam resistir e continuar lutando por seus direitos. Hey, Trudeau, leave those people alone! Repudiar qualquer forma de violência é obrigação de todos.
1001	Uncensored	ЭТО КЛАССИКА МИРОВОЙ МУЗЫКИ В ИСТОРИИ ЧЕЛОВЕЧЕСТВА
1002	Leda Solange	Que maravilha! Voltando a década de 70 aqui em S. Paulo Brasil
1003	Anti• Brown	eu lembro a capa desse disco tinha um olhão eu com 3 anos de idade e meu pai no auge da lombra pirando nos Pink Floyd e hoje eu entendo toda essa loucura sideral que ele vivia.
1004	Vanessa Leite	Ouço e ouço novamente e sempre me sinto maravilhada quando coloco essa com essa música
1005	Tiago Gonçalves	simplesmente Pink Floyd!!!!
1006	Antonio Grasso	What a great music....I was a child, but after many years it's is always a great pleasure to listen to that, congratulations!
1007	M4 Hayt	One if the best songs ever written on one of the best albums ever made by one of the best bands of all time.
1008	Charles	This song is not about being opposed to education, its about being opposed to indoctrination, compliance and conformity. Sounds like the current education system in America.
1009	Melrano	Just a Masterpiece
1010	Sarah Folies	Toooppp!!! 😍😍😍 Et en concert ça déchire 😃👍 👍👍👍👍
1011	ROSELI CARNEIRO	Que som !!
1012	simon	Day 255 listening to pink floyd everyday for 1 year
1013	simon	Day 239 listening to Pink floyd everyday for 1 year… STILL THE BEST BAND EVER!!!
1014	Euda Silva Flexa	Legal essa música 🎶
1015	Abi lvs Oh Seungmin	I keep listening this masterpeace.
1016	dena marshall	still love pink Floyd still up until this day I am in my 56 years old
1017	josé Azevedo	BEAUTIFUL
1018	carlos gilabert	a masterpiece
1019	João Paulo Miranda Barbosa	Grandes tempos
1020	CLAUDIA DE AQUINO	Ótimo vídeo!
1021	Rodrigo Barbosa	Essa musica e mt bia eu amo ela
1022	Maximo Nacer	It took Just ten years...1979 when this song came to life to 1989 with the opening of the Berlin Wall...Life, Liberty and Property are powerful concepts. The educational system was not supposed to become a place to sequester valuable funds of the children but to keep their minds open and to produce positive outcomes so that is exactly what has happened...we do not need more education but private property because we can use it now to generate clean energy...hydroelectric power
1023	simon	Day 256 listening to pink floyd everyday for 1 year
1024	Twice Hn	Temazo
1025	Alexandra Machado	E foda ouvir isso
1026	Ahmose2070	I remember this song during my juror year in high school. It was deemed controversial back then.
1027	simon	Day 237 listening to Pink Floyd everyday for 1 year:)
1028	simon	Day 253 listening to pink floyd everyday for 1 year
1029	Concetta Bonfitto	Grande e molto emozionante
1030	Николай Трусов	Пинк Флойд это молодость это надежды
1031	valentino	Obra de arte no apta para oidos necios
1032	simon	day 272 listening to pink floyd everyday for 1 year
1033	иван иванов	музыка на все времена
1034	simon	Day 267 listening to pink floyd everyday for 1 year
1035	Michael Segers	Old school is the best school!!! ✌️
1036	stormi nite	Great video. I can relatecall to well. Much love to all!!! 💙💙💙💙💙
1037	simon	Day 263 listening to pink floyd everyday for 1 year
1038	Alana Santos	Eu morria de medo desse vídeo clipe quando era pequena kkk🥲
1039	Ian Darabos	the bass sounds so good in this one
1040	Peter Gruhn	"I love how they roll over ""however carefully hidden by the kid"" as if it weren't even a little bit awkward."
1041	Wa leri Grin	Люблю!!
1042	simon	Day 235 listening to pink floyd everyday for 1 year
1043	simon	Day 233 listening to pink floyd everyday for 1 year
1044	sharon baird	my 2 grandsons love this song since i told them thats the way school was back in the days and it might come back lol
1045	HAMMER	Such a deeper meaning too this video, most won’t get it.
1046	simon	Day 251 listening to pink floyd everyday for 1 year
1047	simon	Day 229 listening to pinkgloyd everyday for 1 year.
1048	simon	Day 250 listening to pink floyd everyday for 1 year
1049	Marcie Hargenrader	Omg love it
1050	simon	Day 259 listening to pink floyd everyday for 1 year.
1051	Rachel Castle	14yrs old 1982 brick in a wall cannon cinema Swindon. Yes it was a XX, not sure of todays modern version. All my mates at school watched the film & video and it was life changing.
1052	simon	Day 245 listening to pink floyd everyday for 1 year
1053	simon	Day 258 listening to pink floyd everyday for 1 year.
1054	simon	day 254 listening to pink floyd everyday for 1 year
1055	Bill Shaefer	Many great songs have been sung during the last 40 years, but none better than the wall. A truly great masterpiece.
1056	Natalia Saucedo	I am love Song ❤❤❤
1057	simon	Day 240listening to pink floyd everyday for 1 year
1058	Graham Exton	My post WW2 teachers were great. Lucky me! I have tried to replicate their wisdom with my students.
1059	Jose Nieves	Me gusta
1060	Therese Amberg	I remember, I saw the movie in a Matiné when it came out and it was the first and only time I realised, none could get up after, we were just paralised for quiet some time....
1061	simon	Day 252 listening to pink floyd everyday for 1 year
1062	simon	Day 246 listening to pink floyd everyday for 1 year.
1063	shahar cohen	2022 and unfortunately it still so relevant.
1064	simon	Day 234 listening to pink floyd everyday for 1 year
1065	USMC Veteran	A hit song that will last way into the 25th Century, maybe into the 30th Century
1066	SoraBruhh	love this already like more years
1067	Mario Del Rosso	Astonishing!
1068	LGD Shottz	Hj eu mudo prometo juro por mim saiu dessa vida hj já fiz várias promessas mais essa e vdd
1069	Ato The Goblin	4:10 this scene used to scare the living shit out of me
1070	Aldo De la cruz	Esta es la buena musica
1071	simon	Day 260 listening to pink floyd everyday for 1 year
1072	simon	Day 236 listening to Pink Floyd everyday for 1 year.
1073	silvana gauna	quien la escucha!!??paz mundial..
1074	simon	Day 270 listening to pink floyd everyday for 1 year
1075	Игорь Дубинин	Группа ЛЕГЕНДА!!!. Спасибо Вам !!!
1076	Elizabeth Judith Castillo Barrera	❤❤❤❤❤😍😍😍😍😍😍😍😍
1077	Bush Ronie	Mantap!
1078	simon	Day 268 listening to Pink Floyd everyday for 1 year
1079	simon	day 247 listening to pink floyd everyday for 1 year.
1080	Bagelis Poulos	❤❤❤❤❤❤❤❤❤❤
1081	вася вася	Да, базару нема, на все времена!
1082	simon	Day 231 listening to pink floyd everyday for 1 year
1083	vander eduardo	Ouvindo agora
1084	simon	Day 257 listening to pink floyd everyday for 1 year
1085	simon	Day 244 listening to Pink floyd everyday for 1 year
1086	Стечкин Павел	Тебе меня не сломать, покажу, что такое настоящая война...
1087	simon	Day 249 listening to pink floyd everyday for 1 year.
1088	Antonio Bispo	Isto sim é som de rock que pra se curtir até nesse 2020 pra frente é contagiante!
1089	j j	Tenho 30 anos e ainda hoje me arrepio com esse som! '-'
1090	simon	day 230 listening to pink Dloyd everyday for 1 year.
1091	Anime addict 234	Classics are the best
1092	simon	Day 261 listening to pink floyd everyday for 1 year
1093	simon	Day 265 listening to pink floyd everyday for 1 year
1094	simon	Day 269 listening to pink floyd everyday for 1 year
1095	simon	Day 242 listening to pink floyd everyday for 1 year
1096	simon	Day 262 listening to pink floyd everyday for 1 year
1097	Магас	Бомба
1098	H-Dawg	Layne did this justice as well!
1099	simon	Day 271 listening to pink floyd everyday for 1 year
1100	simon	day 241 listening to Pink floyd everyday for 1 year
1101	Алексей Лавринович	Гениальный эпизод. Актуальный как никогда. Впрочем до окончательного краха путинщины чуть-чуть.
1102	simon	day 232 listening to pink floyd everyday for 1 year.
1103	brandon allen	He's telling the truth indeed. What value does education really have in an anti capitalist society and socialist empire we have truly become?
1104	Александр Караман	это вообще шедевр , похоже на евросоюз и сша
1105	Unfortunate Spine	If you're reading this and haven't listened to the entire album, all the way through, no interruptions, do so soon.
1106	Nadia Borsatto	🍺🍺🍺👍👍
1107	simon	Day 266 listening to pink floyd everyday for 1 year
1108	Vilson Assumpção	Música muito top, ninguém supera o clássico..
1109	Black Bamboo	We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey, teacher, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey, teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall Wrong, do it again If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat? You! Yes, you behind the bikesheds, stand still laddy!
1110	Erl Jazz	that solo
1111	Sveta Bobel	Ещё раз убедилась, что смартфон читает даже мысли - только ПОДУМАЛА об этом ролике и.... он сразу появился в ленте! 😀
1112	simon	day 264 listening to pink floyd everyday for 1 year
1113	Leroy Lewis	The original movie was so deep, everytime i re-watched it i took away something new, it's amazing how the older you get the more sense they make. Fun Fact: the artwork in the original movie was all done by the band members.
1114	Sichul Park	I feel sorry for the student who got corporal punishment.ㅠㅠ
1115	Cherri Dunham	This is cool
1116	Дмитрий Круценко	Этот клип олицетворение нынешней России .
1117	Gary Ball	All we know is another brick in the Wall with a lot of mortar and a lot of concrete and a lot of stones together going
1118	юрий кладов	Как это актуально сейчас!
1119	Adam Everett	Well I’ll honestly tell you I don’t think you have any business having pudding if you do not eat your meat.
1120	cynthia kotyluk	They have to tell us what’s coming before it comes
1121	miguel	Mano quando eu era menor eu cagava de medo disso
1122	Laura Miranda	6 years old, saw this on tv, hypnotized little girl... I was amazed and traumatized at the same time, there I fell in love with this music.,
1123	richard Bentley	We do need a education, just like 🎵
1124	Taisto Laurila	Memoriam
1125	Paul Conache	Super, super, super
1126	MaxGustonia	неплохой тречок
1127	simon	Day 243 listening to pink floyd everyday for 1 year
1128	simon	Day 248 listening to pink floyd everyday for 1 year.
1129	Vanderley Silva	Isso sim que é música de VERDADE!!!
1130	simon	day 238 listening to Pink Floyd everyday for 1 year
1131	abeja triste	🖤
1132	Halene Krus	"Dedicated to my daughter Wendy ""The Wall part 2"""
1133	Carlton	Slava Ukraine
1134	Nicola Mastrodonato	❤️
1135	Nilson Machado	3:23 love 😎😎😎😎
1136	kimby_x_eli	Soy la única que la está viendo por una tarea 👁👄👁
1137	Old Warrior	You must understand the era. These incredibly talented people were raised in the super-conformist late 40s through the early 60s; and this song relates directly to the mind control pushing conformism. Having still the capacity for critical thinking, PF created music history.
1138	Nadia Reis	Mfeu 💘 desculpa os erros
1139	H-Dawg	So relevant with the atrocious stuff that’s happening in schools nowadays. Especially in the States.
1140	Nadia Reis	Você e omeu predileto voos sabe oque eu gosto obrigado meu aor
1141	arizona	Cosa dire veri anni nostalgia tanta erano veri anni più belli del mondo 8o si ascoltava mitici ❤❤❤❤❤❤❤ vorrei tornare indietro
1142	Richard Azevedo	Depois de décadas, continua sendo tão atual. 💔
1143	Wa leri Grin	Вас будуть слухать вічно!!!
1144	Peter Gruhn	The origin of the slo-mo team walk.
1145	Mr. KOT	So a generation has grown up without abstract thinking. In the head is what the authorities need
1146	Kat tor	Los rebeldes cambiarán el mundo 👍🏻💪🏻🙏🏻👦🏻👧🏻. Nuestra última esperanza.
1147	Alba Morales Cubero	clásico entre los clásicos
1148	Andy Dudley	just had crackheads next door playing music past 48 hours and i needed a good base line for a monday morning while they sleep
1149	michelle grand'maison	Perfecto Mondo
1150	Doo suk Jun	난 어떤일에는 애들갔을순 있어도 그래도 밝은 색깔이 좋네요 아맨
1151	Manolo Marzullo	Unici
1152	ACME AM	HEY TEACHER LEAVE THEM KIDS ALONE!!!
1153	Xino Vidal	pasando la cuarentena escuchando esta belleza
1154	Vanessa Lina	Trilha sonora beijo Vampiro novela
1155	Bogdan Dereban	watching this from Ukraine, March 5, i cant belive...
1156	Maggie G	Glad I went to American schools! Even the Nuns weren’t this rough. Sad for those across the pond.
1157	Kerem Güler	If I had to explain this song with one word, I would say this : Masterpiece
1158	Amanda Nayara	Música para meus ouvidos 👏😎
1159	Jack Whealen	Who's bass on this?
1160	jacob martinelli	"there needs to be a specified difference between ""daycare"" and mandated daycare."
1161	Dennis Bassham	Pink floid dark side of the moon
1162	Pink Ocean Flower	The school system teaches students to NOT think for themselves.
1163	Nan	Ever since I was a kid I've always been fascinated by this video
1164	Rusty Shackleford	God bless Ron DeSantis.
1165	Karmen Jazbec	we do not need no education boys you are the best I am well educated
1166	נועה טנאי	חזק
1167	Kat7	Make sure you're buckled up as parents and get them out of these indoctrination camps ASAP!!!!! WAKE UP
1168	Susan Campos	2022 Feb amazing how 11 years ago education system was so chaos yet NOW out of chaos Covid 19 that says something about education doesn't it!! Change obviously is good . Better than destruction and negative elements to discourage learning now students are individual s with there pace to complete their assignment s. With computer tops and meeting s on internet and for tests too. Amazingly a better situation for change and growth. Great song to reflect on this subject.
1169	Melissa Chavac	2022 ❤️
1170	Justin Najar	It's sad how music will never be like this again I understand new ages and what not but this kind of music is gold man
1171	Армин Смирнов	💌💌
1172	Mario Del Rosso	!!!
1173	James Stewart	You listen to the whole album you go through your own life story, thats the connection we all have pure genius
1174	Jose Sanchez	Escuchando esta wea en clases ece colte me guta a mi mi' primates
1175	Аров Мухамед	Не умерайте!;!
1176	Pablo Gamaliel Banegas Iscoa	Jajaja esta canción la conocí porque un hermano mio la puso una vez cuando estábamos en la chamba 😂😂😂👍, y desde ese día me empezó a gustar este tremendo rolon 😎👌🔥
1177	Ian M	It's incredibly gratifying knowing this video has been viewed by 339 million people as of 6/25/18 at 8:18 pacific time. May the song's message stay in the back of your mind my working class brethren and slowly fray at the monotony of your lives.
1178	Maddie IMDEAD	Freeeeeeeeeedom for us all i say.
1179	Luiz marques Silva da silva	😱
1180	Otis Notibrus	*The Happiest Days of Our Lives* 0:17 [Intro: Roger Waters] You! Yes, you! Stand still, laddie! 0:46 [Verse 1: Roger Waters] When we grew up and went to school There were certain teachers who Would hurt the children in any way they could (Oof!) By pouring their derision upon anything we did Exposing every weakness However carefully hidden by the kid 1:53 [Verse 2: Roger Waters] But in the town, it was well known, when they got home at night Their fat and psychopathic wives would thrash them within inches of their lives *Another Brick in the Wall, Pt. 2* 2:20 [Intro] *Screaming* 2:21 [Verse: Roger Waters & David Gilmour] We don't need no education We don't need no thought control No dark sarcasm in the classroom Teacher, leave them kids alone Hey! Teacher! Leave them kids alone! 3:08 [Chorus: Roger Waters & David Gilmour] All in all, it's just another brick in the wall All in all, you're just another brick in the wall 3:26 [Verse: Islington Green School Students] We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers, leave them kids alone Hey! Teacher! Leave us kids alone! 4:08 [Chorus: Islington Green School Students] All in all, you're just another brick in the wall All in all, you're just another brick in the wall 4:25 [Guitar Solo] [Outro: Roger Waters] Wrong, do it again! (*Children playing*) Wrong, do it again! If you don't eat your meat, you can't have any pudding! (Wrong, do it again!) How can you have any pudding if you don't eat your meat? (Wrong, do it again!) You! Yes! You behind the bike sheds! Stand still, laddie! (If you don't eat your meat, you can't have any pudding! How can you have any pudding if you don't eat your meat?) (You! Yes! You behind the bike sheds! Stand still, laddie!) *Children playing* *Phone beeping sound*
1181	Madysen Malone	My first time listening to a pink Floyd song...I'm impressed.
1182	HALO DXD	A alguien que todavía les sigue gustando las canciones clásicas y no las basuras que hay en hoy en dia
1183	Yasamin Heydari	i cant be the only one who gets goosbumps everytime this music plays this is the reall MUSIC!
1184	Bolin Terang	We performed this song on Teacher's Day and the next day we were at Principal's office.
1185	Júlio Santos	Cresci escutando essa raridade, Jon Carlos obrigado por me fazer gostar dessa raridade!!
1186	Seppelin	I'm sure everyone has heard this song without knowing who has sung it, its just one of those songs that gets played everywhere
1187	Érica Paes	Isso sim que e música Brasil
1188	Rustam Ayupov	Вечная песня, можно хоть каждый день слушать !
1189	Jo Mama	"**LYRICS: for whoever wants to sing along We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers leave them kids alone Hey, teachers, leave them kids alone All in all it's just another brick in the wall All in all you're just another brick in the wall We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers leave those kids alone Hey teachers, leave those kids alone All in all you're just another brick in the wall All in all you're just another brick in the wall ""Wrong, do it again! Wrong, do it again!"" ""If you don't eat yer meat, you can't have any pudding How can you have any pudding if you don't eat yer meat?"" ""You, yes, you behind the bike sheds, stand still, laddy"""
1190	Nuria Gomez Manero	Vainica doble
1191	simon	Day 12 listening to Pink floyd everyday for 1 year.
1192	Армин Смирнов	😂😂
1193	simon	Day 5 listening to Pink floyd everyday for 1 year.
1194	Matěj haresta	Omg
1195	zero fyak	I don't need no arms around me And I don't need no drugs to calm me I have seen the writing on the wall Don't think I'll need anything at all No, don't think I'll need anything at all All in all it was all just bricks in the wall All in all you were all just bricks in the wall
1196	simon	Day 4 listening to Pink floyd everyday for 1 year.
1197	Jérôme Perlinski	La Lune et pas de gazon à fumer Toufou, toufou, toufou, ... Pschiiiiihit. De retour du pont bleu ?
1198	Miss Bean	I played this song in my high school during recesses on loud speaker for the whole school to hear. Nobody cared. I thought at least the teenagers would but...nope. Mind control to the max.
1199	diretoria guarabira	Bolsonaro 2022
1200	Winwak	It's brilliant. Listen this song all my life. Masterpiece.
1201	Livisor Nedelcu	I reckon this song and its message is more actual now than the time was written. What a masterpiece
1202	manoel barbosa	Ouvir Pink Floyd em casa, de boa, e refletir sobre a vida é bom demais!
1203	Ludmila Miranda	Siempre me ase recordar a mi padre este tema💔
1204	Crítica Musical	3 canciones en una = una obra de arte.
1205	slunk	What a special and meaningful song!
1206	Vinidev One	Amo essa música, fala sobre resistência e vitória contra autoritarismo e fascismo.Vocês são foda!
1207	Urbano Muños	Bonita.musica.🌿🍃
1208	Celtic Warrior	Fabulous!!! Exactly the way I always felt at school!!
1209	Oscar Rivera	3:07 como adoro esa parte
1210	Maquininhas Mercado Pago	Esse rock o melhor do mundo
1211	Flávio Gamara	muito bom
1212	jose antonio silva santana santana	EXCELENTES!!!
1213	Gena Alex	Это шедевр !!
1214	Kathleen Weber	Love this song! I am 73 and remember being mistreated in Parochial School! Life long repercussions! Lord Have Mercy! Godspeed
1215	Comida Rústica	Muito top
1216	legalmente 123	Que clipe macabro, música boa dmssss
1217	Iza Lorena	Amo essa música top dos tops
1218	Cleber Eduardo Elidio Rocha	Melhor música 🙏
1219	Александр Южанинов	Классика! Часто слушаю, что-то новое появляется, или старею?
1220	Андрей Клеймихин	Классная группа, кто слушал в восьмидесятых, всем привет.
1221	Luiz Jacob	Uau!!! D+
1222	[inactive channel]	1:50 is my favourite part. i wish they made it longer
1223	Alexander Solarte	When I didn't know English I thought this song was bad and I just enjoyed its melody. Now I know English and I can understand the song so I agree with the message and as they say in Latin America, que buena rola¡¡¡¡
1224	jem	Such an awesome song and film clip. Reckon it would have been fun to be one of the child extras, in this film clip although these days the kid actors would probably have counselling after performing because of all the dark themes (but counselling is good so not knocking it he he 😉 )
1225	simon	Day 211 listening to pink floyd for 1 year..
1226	Craig Colbert	I was thinking about this song and how it is probably their most commercially recognized song. Only Pink Floyd could create a song that has the best of everything.
1227	Poeli	Lastima que casi toda la generación juvenil se pierde de estás joyas
1228	Andrew Knight	This is one of the many reasons I homeschool. Love this song! It's like an anthem!! God bless everyone!
1229	jaime yepez	Nice,beautiful song
1230	Szabolcs Laczkó	Now this is the ringtone at my school and I'm proud to the one (unknown) teacher who sat it.
1231	Valcirene Medeiros	Essa música é a oitava maravilha da terra! 😃😃
1232	Cristiano	Lembro que em minha época de escola,tínhamos uma professora de ensinos religioso que era bem linha dura. Não tanto quanto a esposa deste professor que aparece no clipe,mas como éramos criança,tínhamos a inclinação de super dimensionar tudo e daí lembro que naquela época,eu achava ela bem pior que essa do clipe. kkkkk Que o espírito dela não se ofenda,se estiver vendo eu debochar dela agora...kkkkk Uns 30 anos atrás,ela deveria já ter essa mesma idade dessa do clipe,então calculo que se não descansou ainda,é por que tá com horas negativa no banco de horas. kkkk Tá pagando... PS: Eu olho o que são os professores de hoje,por força das leis/mimimi e o que era em minha época... Não entendo como os jovens de hoje podem reclamar do paraíso que é hoje! Pra não dizer ZONA! Na minha época não tinha o que tem hoje! ´´A senhora não é minha mãe pra me xingar,tome um soco nos peitos! E lá vinha o POLICIAL MILITAR que fazia a segurança do portão;conter aquele projeto de delinquente juvenil...`` Lembro que já existia a pressão dos pais,sobre a diretora,pois não aceitavam essa abordagem e a diretora não aceitava POLICIAL MILITAR entrando nas salas,mas naquela época as professoras tinha mais voz de comando e falavam alto e grosso! Se não aceita,volte a dar aula e levar soco nos peito,já que gosta! Enfim,a aula era dada aos filhos,mas nunca aos pais e daí não resolvia nada! Como não resolve,agrava! Foi o que aconteceu.
1233	Belmira Santos	Bom dia acho que a musica letra tem a ver com a realidade de vida que nosso Mundo esta a viver
1234	Livia Rayane	Essa música é uma crítica genial!
1235	dwight nix	they played this a lot when we went to the skating rink as a kid. Fun song to skate to.
1236	darknessinside	Just a quick reminder to anyone that never listened to any pink floyd song other than this, wish you were here and money that Pink Floyd's The Wall is (probably) one of the most insanely genius and deep conceptual albums ever written in music history and that this song is just 1/13 of such masterpiece, if you haven't, you should listen to the rest of the album ;) tldr: if you havent, listen to the other The Wall songs, you'll surely be amazed by those
1237	Freqenc	"Ah, just history repeating itself. ""F""ing great song!"
1238	Victor Antonio Pacheco	I'm inlove with this song 🎵
1239	simon	Day 189 listening to pink floyd everyday for 1 year
1240	Ubirajara Falconi de Assis	um grande classico,pra lembrar o dia mundial do Rock,nada como essa grande banda.
1241	x9A3A8x	Αυτή την συμπεριφορά που περιγράφει το video (1982) το αντικρίζω από την εποχή που οι κυβερνήσεις πολλών κρατών αποφάσισαν να μειώσουν την ελευθερία των ανθρώπων. Με την αφαίρεση των επιλογών του καθενός μας, με την υποχρέωση της αναφοράς, με την επιβολή να ήμαστε πειράματα σε κάποια πειραματικά εμβόλια χωρείς εγγύηση από κανένα κρατικό φορέα και οικονομικές κιρρώσεις αν αρνηθούμε να συμμορφωθούμε. Αλήθεια σας αρέσει ένας τέτοιος κόσμος ;
1242	MysOneC	Fun fact: Even though this is actually two songs, this isn’t even the complete Another Brick in the Wall.
1243	Thais Garibaldi	Puta que pariu...que canção ❣️❣️
1244	Jackie Starr	Yes!!! Rip Dad I love you for this ❤
1245	simon	Day 206 listening to pink floyd for 1 year..
1246	simon	Day 203 listening to pink floyd for 1 year.
1247	simon	Day 201 listening to pink floyd for 1 year
1248	simon	Day 195 listening to pink floyd everyday for 1 year
1249	Anita Hardesty	One if the greatest songs ever written!! One of the greatest bands ever!! The talent is amazing!
1250	Diego David	"ALGUIEN ME PUEDE DECIR POR FAVOR.. SI HAY ALGUN ALBUM OFICIAL QUE CONTENGA ESTA VERSIÓN??? SABEMOS QUE ""THE WALL"" TIENE LAS TRES PARTES DE ESTA CANCIÓN PERO POR ESO PREGUNTO SI ES QUE HAY ALGÚN ÁLBUM QUE CONTENGA LA VERSIÓN DE ESTE VIDEO MEZCLANDO LA PARTE 1 Y LA PARTE 2 DEL ÁLBUM ""THE WALL"""
1251	[swag]	4:02 I remember i saw this musicvideo when i was really younger (4 y/o) and i couldn't sleep for 2 weeks
1252	Paul A	Brilliant music that will last for sure. But times have changed, teachers with any conservative leanings have been eradicated decades ago. We are now in the grip of a mob who despise any individuality or freedom of expression.
1253	Salvatore Gelsomino	Bellissimo
1254	simon	day 190 listening to pink floyd everyday for 1 year
1255	simon	Day 225 listening to pink floyd everyday for 1 yearz.
1256	پخش سراسری آهنگ G1Music	👏👏👏
1257	Miguel Chaglia	Hola soy de Santa Cruz de la Sierra Bolivia y vivo en Ecuador - Guayaquil Saludos a toda esa gente latina que escucha rock
1258	Franssen Aanhangwagens V.O.F	This song says it all
1259	Alex Guedes	I Love you Brasil 🇧🇷❤
1260	simon	Day 186 listening to pink floyd everyday for 1 year
1261	simon	Day 228 listening to pink Dloyd everyday for 1 year.
1262	simon	Day 223 listening to pink floyd everyday for 1 year
1263	с миром	С 2022годом ! Школы перешли на онлайн обучение. Спасибо Пинк Флойд ..........
1264	LuisFer	Awesome
1265	Pamela Jordan	In the fifties I was so shy and came in last at running..there was this teacher..who seamed so tall..said you can't do anything right..I believed her .😿😢
1266	Niko	I understand this song now since I’m older
1267	Eugene Terblanche	still listening to it in in 2022 🙂
1268	simon	Day 192 listening to pink floyd everyday for 1 year
1269	simon	DAY 220 LISTENING TO PINK FLOYD EVERYDAY FOR 1 YEAR
1270	simon	Day 224 listening to pink floyd everyday for 1 year
1271	fabio palermo	Sensational...
1272	simon	Day 197 listening to pink floyd everyday for 1 year
1273	RALLYBURNZ SIM RACING	Classic
1274	Carla	Esta canción siempre me recordará a mi papá, siempre la ponía y la cantaba a todo pulmón<3
1275	simon	day 204 listening to pink floyd for 1 year.
1276	simon	Day 187 listening to pink floyd everyday for 1 year.
1277	simon	Day 202 listening to pink floyd for 1 year
1278	QP Brantley	I remember listening to this in the car with my siblings and parents, & remember that my siblings and mom are losers soo... But my dad and I were listening to it and I was like ya this song is bitchin'
1279	simon	Day 196 listening to pink floyd everyday for 1 year
1280	simon	Day 213 listening to pink floyd for 1 year
1281	Jason Labrecque	Is it bad that I found this entertaining ♥️
1282	A.D	Perfect song for 2022. The world needs more rebellion from all ages.
1283	simon	Day 193 listening to pink floyd everyday for 1 year
1284	simon	Day 210 listening to pink floyd for 1 year..
1285	simon	Day 218 listening to pink floyd for 1 year
1286	simon	Day 209 listening to pink floyd for 1 year..
1287	Bansal	I am from India and love this song However education system is different in india
1288	Pesky Logic Chillinsky	This song was the song playing the first time I took shrooms. Or maybe the second time... lol
1289	simon	Day 194 listening to pink floyd everyday for 1 year
1290	simon	dah 183 listening to pink floyd everyday for 1 year
1291	simon	Day 212 listening to pink floyd for 1 year
1292	simon	day 219 listening to pink floyd for 1 year.
1293	Yeii Box	Ovo je tad bila zajebancija, a sad vidimo što su nam tada pripremali🇭🇷✌️
1294	simon	Day 214 listening to pink floyd for 1 year……..
1295	simon	say 200 listening to pink floyd everyday for 1 year
1296	simon	day 222 listening to pink floyd everyday for one year
1297	simon	day 205 listening to pink floyd for 1 year
1298	Александр Александрович	Сколько лет а всё мурашки побежали
1299	simon	Day 227 listening to pink floyd everyday for 1 year
1300	simon	day 216 listening to pink floyd for 1 year
1301	simon	Day 207 listening to pink floyd for 1 year..
1302	Алексей Афанасьев	Спасибо
